epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1203.74,1.17205,0.69103,0.84966,0.9201,0.88359,0.92021,0.65439,0.99255,0.47556,0.8352,0.00999398,0.00333133,0.00999398,0.00333133,0.00999398,0.00333133,0.00999398,0.00333133
2,3738.05,1.0979,0.51122,0.83379,0.94343,0.89788,0.93408,0.65359,1.02662,0.4916,0.8439,0.0193342,0.00644473,0.0193342,0.00644473,0.0193342,0.00644473,0.0193342,0.00644473
3,4549.65,1.09538,0.51008,0.83317,0.94841,0.88027,0.93166,0.65543,0.97702,0.47831,0.83389,0.0280144,0.00933813,0.0280144,0.00933813,0.0280144,0.00933813,0.0280144,0.00933813
4,5355.09,1.04272,0.48746,0.82865,0.9481,0.91237,0.94371,0.68868,0.941,0.43885,0.82778,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,6157.99,0.97245,0.4536,0.82101,0.93207,0.91203,0.94491,0.69342,0.90187,0.41892,0.82194,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,6961.33,0.93026,0.43167,0.81497,0.94158,0.92207,0.95614,0.70743,0.87547,0.40212,0.81793,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,7768.65,0.90062,0.41727,0.81105,0.95065,0.92782,0.95704,0.71824,0.85657,0.38903,0.8151,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,8767.64,0.87313,0.40409,0.80769,0.95769,0.93353,0.96197,0.7315,0.82579,0.3745,0.80975,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,9552.6,0.85105,0.39424,0.80519,0.96255,0.93847,0.96368,0.73398,0.80363,0.36188,0.80683,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,10352.5,0.83688,0.38676,0.80308,0.96155,0.93686,0.96337,0.73872,0.78854,0.35413,0.80506,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,11137.8,0.81887,0.3777,0.80031,0.9713,0.93827,0.96791,0.74719,0.77348,0.34705,0.80277,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,11922.1,0.80536,0.37198,0.79856,0.96525,0.94361,0.96737,0.75074,0.76234,0.33911,0.80083,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,12716.5,0.7881,0.36402,0.79759,0.97017,0.94279,0.96839,0.75535,0.74149,0.33037,0.79808,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,14470.4,0.7664,0.355,0.79532,0.96376,0.94972,0.96863,0.7565,0.73814,0.32853,0.79735,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,15253.1,0.75779,0.35018,0.79362,0.97377,0.94805,0.97026,0.76898,0.71591,0.31844,0.79407,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,16070.3,0.74563,0.34468,0.79209,0.97603,0.95298,0.97053,0.76771,0.70811,0.31415,0.79305,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,17007.6,0.73277,0.33903,0.79074,0.97453,0.9505,0.97075,0.77579,0.69366,0.3084,0.79175,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,17790.8,0.71987,0.33314,0.78905,0.97039,0.95527,0.97256,0.77647,0.68464,0.30447,0.79073,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,18577.1,0.70754,0.32714,0.78806,0.973,0.95485,0.97262,0.7815,0.67229,0.29942,0.78944,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,19590.6,0.69658,0.32184,0.78683,0.97855,0.95199,0.97322,0.78601,0.66341,0.29456,0.78842,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,20397.4,0.66859,0.31538,0.78964,0.97771,0.95319,0.97251,0.78532,0.6595,0.29471,0.78787,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,21171.6,0.65286,0.30821,0.78765,0.98161,0.95352,0.97446,0.78998,0.6516,0.2916,0.78687,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,21957.1,0.63685,0.30112,0.7872,0.98158,0.95474,0.97447,0.79211,0.64275,0.28683,0.78634,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,22802.6,0.62565,0.29606,0.78575,0.98267,0.95518,0.97432,0.79607,0.63419,0.28361,0.78519,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,23658.9,0.60922,0.28851,0.78391,0.98233,0.95718,0.97472,0.79796,0.62679,0.27945,0.78425,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,24524.8,0.59554,0.28235,0.78256,0.98075,0.9569,0.97505,0.80212,0.62101,0.27682,0.78348,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,25388.5,0.58365,0.27573,0.78211,0.98035,0.95864,0.97508,0.80232,0.61547,0.27394,0.7829,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,26253.8,0.57036,0.26999,0.78061,0.98067,0.95875,0.97527,0.80646,0.61058,0.27103,0.78245,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,27121.3,0.55643,0.26344,0.77983,0.98339,0.95703,0.97524,0.80642,0.6076,0.26952,0.78212,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,27985.4,0.54688,0.25792,0.77896,0.98009,0.96068,0.97519,0.80729,0.60547,0.26831,0.78188,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
